"filename", "language", "Dart", "comment", "blank", "total"
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\user\bloc\user_bloc.dart", "Dart", 25, 0, 5, 30
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\user\bloc\user_event.dart", "Dart", 7, 0, 3, 10
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\user\bloc\user_state.dart", "Dart", 15, 0, 9, 24
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_colors\app_colors.dart", "Dart", 4, 0, 1, 5
"d:\Personal\Workspace\Flutter\attendo_app\lib\firebase_options.dart", "Dart", 55, 12, 4, 71
"d:\Personal\Workspace\Flutter\attendo_app\lib\main.dart", "Dart", 90, 0, 7, 97
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\activity\create_activity_screen.dart", "Dart", 136, 1, 9, 146
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\login_screen.dart", "Dart", 267, 1, 5, 273
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\signup_screen.dart", "Dart", 144, 0, 5, 149
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\verify_email_screen.dart", "Dart", 82, 3, 14, 99
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\group\group_detail_screen.dart", "Dart", 163, 1, 7, 171
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\invite\invite_screen.dart", "Dart", 81, 0, 6, 87
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\main_screen.dart", "Dart", 73, 0, 7, 80
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\activity\activity_screen.dart", "Dart", 11, 0, 2, 13
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\home\home_screen.dart", "Dart", 375, 9, 15, 399
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\notify\notification_screen.dart", "Dart", 199, 0, 5, 204
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\profile\profile_screen.dart", "Dart", 11, 0, 2, 13
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\setting\settings_screen.dart", "Dart", 65, 0, 5, 70
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\splash\splash_screen.dart", "Dart", 47, 1, 8, 56
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\attendance_service.dart", "Dart", 77, 0, 9, 86
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\invite_user_service.dart", "Dart", 32, 0, 7, 39
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\today_activity_service.dart", "Dart", 74, 0, 11, 85
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\username_generator.dart", "Dart", 15, 0, 4, 19
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\username_service.dart", "Dart", 18, 0, 4, 22
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\choice_button.dart", "Dart", 31, 0, 3, 34
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\circle_avatar.dart", "Dart", 30, 0, 3, 33
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\custom_act_listtile.dart", "Dart", 0, 59, 3, 62
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\custom_group_listtile.dart", "Dart", 74, 0, 4, 78
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\date_time_picker.dart", "Dart", 96, 3, 10, 109
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\my_button.dart", "Dart", 28, 0, 3, 31
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\my_textfield.dart", "Dart", 46, 0, 8, 54
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\square_login_button.dart", "Dart", 31, 0, 3, 34
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\today_activity_listtile.dart", "Dart", 200, 0, 6, 206
"Total", "-", 3431, 99, 415, 3945
